datetime,comparison,dataset_a,dataset_b,corr,corr_p
2024-09-06 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4598447088266081,45.98447088266081
2024-09-07 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.36265677636975335,36.26567763697533
2024-09-08 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4032247929846597,40.32247929846597
2024-09-09 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.13609001506652205,13.609001506652204
2024-09-10 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.18033788943810863,18.033788943810862
2024-09-11 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.4786837066188118,47.86837066188118
2024-09-12 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.6347171145151275,63.471711451512746
2024-09-13 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.14992794422961822,14.992794422961822
2024-09-14 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.14525431563688643,14.525431563688644
2024-09-17 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,-0.3049460538010416,-30.49460538010416
2024-09-18 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.17992027391769075,17.992027391769074
2024-09-19 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.07147345705472012,7.147345705472012
2024-09-20 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.21099485559062803,21.099485559062803
2024-09-21 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.3219661999519334,32.19661999519334
2024-09-22 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.058720097349373855,5.872009734937386
2024-09-23 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.2399130521861284,23.99130521861284
2024-09-24 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.2274912191834529,22.74912191834529
2024-09-25 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.08017028938687722,8.017028938687721
2024-09-26 08:00:00,embrace x igs,mapas1_embrace_2022_2024_0800,mapas1_igs_2022_2024_0800,0.1765239226146495,17.65239226146495
